Date,Weather,Exam,Strength
2025-06-01,Sunny,No,NaN
2025-06-02,Sunny,No,255
2025-06-03,Cloudy,No,240
2025-06-04,Rainy,No,210
2025-06-05,Sunny,No,265
2025-06-06,Rainy,No,230
2025-06-07,Sunny,No,NaN
2025-06-08,Cloudy,No,NaN
2025-06-09,Sunny,No,360
2025-06-10,Cloudy,No,372
2025-06-11,Rainy,No,375
2025-06-12,Sunny,No,385
2025-06-13,Sunny,No,398
2025-06-14,Sunny,No,NaN
2025-06-15,Cloudy,No,NaN
2025-06-16,Sunny,No,260
2025-06-17,Cloudy,No,245
2025-06-18,Rainy,No,220
2025-06-19,Sunny,No,250
2025-06-20,Rainy,No,235
2025-06-21,Sunny,No,NaN
2025-06-22,Sunny,No,NaN
2025-06-23,Rainy,No,340
2025-06-24,Cloudy,No,368
2025-06-25,Sunny,No,355
2025-06-26,Rainy,No,380
2025-06-27,Sunny,No,365
2025-06-28,Sunny,No,NaN
2025-06-29,Sunny,No,NaN
2025-06-30,Cloudy,No,248
