Date,Weather,Exam,Strength
2025-05-01,Sunny,No,250
2025-05-02,Cloudy,No,240
2025-05-03,Sunny,No,NaN
2025-05-04,Rainy,No,NaN
2025-05-05,Sunny,No,360
2025-05-06,Cloudy,No,370
2025-05-07,Rainy,No,380
2025-05-08,Sunny,No,390
2025-05-09,Sunny,No,400
2025-05-10,Sunny,No,NaN
2025-05-11,Sunny,No,NaN
2025-05-12,Cloudy,No,255
2025-05-13,Rainy,No,230
2025-05-14,Sunny,No,245
2025-05-15,Cloudy,No,250
2025-05-16,Rainy,No,220
2025-05-17,Sunny,No,NaN
2025-05-18,Sunny,No,NaN
2025-05-19,Rainy,No,340
2025-05-20,Cloudy,No,365
2025-05-21,Sunny,No,355
2025-05-22,Rainy,No,380
2025-05-23,Sunny,No,370
2025-05-24,Sunny,No,NaN
2025-05-25,Cloudy,No,NaN
2025-05-26,Sunny,No,260
2025-05-27,Cloudy,No,245
2025-05-28,Rainy,No,235
2025-05-29,Sunny,No,255
2025-05-30,Rainy,No,240
2025-05-31,Sunny,No,NaN
